X_values,Y_values,participant,session,date,expName,psychopyVersion,OS,frameRate
0,-0.1516022790398071,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
1,-0.12700751184876136,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
2,-0.10891137289027042,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
3,-0.07988241544830275,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
4,-0.052232150771794626,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
5,-0.021282802010448184,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
6,0.0063650157195537065,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
7,0.03172009074201021,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
8,0.048993824830394286,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
9,0.07479230502730239,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
10,0.09423841975640601,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
11,0.1161152295734446,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
12,0.12869608961327533,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
13,0.08553149155517209,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
14,0.0487091018284323,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
15,0.0236317783188351,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
16,-0.009211968726361573,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
17,-0.028258954162135967,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
18,-0.054697287786024965,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
19,-0.07891384015104955,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
20,-0.09605289984398638,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
21,-0.1124226949579236,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
22,-0.12040444978607225,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
23,-0.12427237968040847,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
24,-0.12211020234493192,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
25,-0.10681687901853253,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
26,-0.08754292775210382,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
27,-0.06222372588880484,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
28,-0.03490061334330087,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
29,-0.013512684970688351,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
30,0.009773981553162822,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
31,0.04153276175125284,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
32,0.06797811303304652,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
33,0.09627552580725227,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
34,0.1172108614138143,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
35,0.04668607726219743,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
36,0.016554377984351363,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
37,-0.006817192966386157,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
38,-0.039006681918376515,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
39,-0.07503104390246786,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
40,-0.11028969630531392,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
41,-0.12774981384739031,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
42,-0.128865621454236,data_PARTICIPANT,,3,demo2 draft,2021.1.3,MacIntel,60.0024001
