X_values,Y_values,participant,session,date,expName,psychopyVersion,OS,frameRate
0,-0.17808539496527778,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
1,-0.109771728515625,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
2,-0.08545125325520833,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
3,-0.0708868408203125,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
4,-0.05002838134765625,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
5,-0.027118869357638888,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
6,-0.005733913845486111,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
7,0.02347079806857639,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
8,0.04664547390407986,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
9,0.06977667914496528,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
10,0.09298638237847222,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
11,0.08279134114583334,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
12,0.053580254448784725,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
13,0.015689358181423613,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
14,-0.017481248643663194,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
15,-0.04272664388020833,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
16,-0.06633443196614583,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
17,-0.08601331922743055,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
18,-0.10067335340711805,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
19,-0.11399088541666667,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
20,-0.11868767632378473,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
21,-0.12419264051649305,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
22,-0.12573438856336805,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
23,-0.11695020887586806,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
24,-0.1037744140625,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
25,-0.09150804307725695,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
26,-0.07452033148871527,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
27,-0.0575775146484375,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
28,-0.029234415690104168,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
29,-0.004005533854166667,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
30,0.025815972222222223,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
31,0.059537828233506944,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
32,0.08976481119791667,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
33,0.08165601942274306,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
34,0.04997165256076389,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
35,0.008177218967013889,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
36,-0.02637332492404514,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
37,-0.04577501085069444,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
38,-0.07119594997829862,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
39,-0.09183315700954861,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
40,-0.10495171440972222,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
41,-0.11486965603298611,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
42,-0.123046875,data_PARTICIPANT,,5,demo2 draft,2021.1.3,MacIntel,60.0024001
