X_values,Y_values,participant,session,date,expName,psychopyVersion,OS,frameRate
0,-0.11051459418402777,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
1,-0.08634480794270834,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
2,-0.039211629231770836,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
3,-0.014146321614583334,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
4,0.021014607747395834,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
5,0.049480150010850696,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
6,0.07092315673828126,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
7,0.09129177517361112,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
8,0.100145263671875,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
9,0.07916585286458333,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
10,0.0693330552842882,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
11,0.03686123318142361,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
12,0.01956963433159722,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
13,-0.008101942274305555,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
14,-0.03416144476996528,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
15,-0.044258965386284724,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
16,-0.07653496636284722,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
17,-0.09581475151909723,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
18,-0.11690483940972222,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
19,-0.13070176866319444,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
20,-0.13952928331163195,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
21,-0.14553202311197916,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
22,-0.1464141845703125,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
23,-0.13549723307291667,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
24,-0.12283338758680555,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
25,-0.10131340874565972,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
26,-0.08780198838975695,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
27,-0.05989942762586806,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
28,-0.044760640462239584,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
29,-0.019171346028645835,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
30,-0.006939765082465278,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
31,0.018803304036458333,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
32,0.04367702907986111,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
33,0.05718848334418403,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
34,0.07476148817274306,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
35,0.099447021484375,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
36,0.108282470703125,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
37,0.12622782389322917,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
38,0.05660837809244792,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
39,0.026110026041666668,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
40,-0.00910983615451389,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
41,-0.04634372287326389,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
42,-0.07874850802951389,PARTICIPANT,001,1,demo2 draft,2021.1.3,MacIntel,60.0024001
