X_values,Y_values,participant,session,date,expName,psychopyVersion,OS,frameRate
0,-0.06730933295355902,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
1,-0.04520436604817708,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
2,-0.0184686279296875,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
3,0.00007117377387152778,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
4,0.018473103841145835,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
5,0.030878499348958335,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
6,0.04357428656684028,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
7,0.055463460286458335,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
8,0.060712890625,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
9,0.05760810004340278,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
10,0.04721645779079861,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
11,0.01389862060546875,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
12,-0.012623257107204862,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
13,-0.0352734375,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
14,-0.05957221137152778,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
15,-0.08124064127604166,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
16,-0.0959677463107639,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
17,-0.1095928955078125,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
18,0.12906995985243055,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
19,0.10443457709418402,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
20,0.08911309136284722,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
21,-0.025211452907986112,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
22,-0.04315528021918403,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
23,-0.05531812879774305,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
24,-0.06280592176649305,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
25,-0.13301472981770834,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
26,-0.12046875,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
27,-0.10273030598958334,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
28,-0.08731926812065972,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
29,-0.06773661295572916,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
30,-0.036909518771701386,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
31,-0.022765977647569446,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
32,0.0036550564236111113,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
33,0.027181464301215277,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
34,0.05631083170572917,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
35,0.0799444580078125,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
36,0.10013604058159722,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
37,0.11344746907552083,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
38,0.11570990668402778,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
39,0.10411712646484375,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
40,0.060815395779079864,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
41,0.014221767849392362,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
42,-0.07055148654513889,data_PARTICIPANT,,2,demo2 draft,2021.1.3,MacIntel,60.0024001
