X_values,Y_values,participant,session,date,expName,psychopyVersion,OS,frameRate
0,-0.1085247802734375,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
1,-0.057174614800347225,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
2,-0.021630452473958332,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
3,0.004965040418836806,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
4,0.0319415283203125,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
5,0.06038241916232639,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
6,0.09048638237847222,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
7,0.11798577202690973,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
8,0.12212999131944445,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
9,0.09122406005859375,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
10,0.06830034044053819,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
11,0.034297620985243055,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
12,0.013093295627170138,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
13,-0.013340657552083333,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
14,-0.03236992730034722,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
15,-0.004707980685763889,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
16,0.05899515787760417,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
17,0.1461545138888889,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
18,0.16957200792100693,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
19,-0.10302422417534722,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
20,-0.10902750651041666,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
21,-0.11402031792534723,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
22,-0.117393798828125,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
23,-0.12437249077690972,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
24,-0.11933736165364583,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
25,-0.11275431315104166,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
26,-0.10414788140190973,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
27,-0.06623860677083333,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
28,-0.028024529351128473,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
29,0.014601643880208333,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
30,0.05690951877170139,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
31,0.09071841769748264,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
32,0.12169189453125,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
33,0.11320593939887152,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
34,0.10565375434027778,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
35,0.08517910427517361,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
36,0.062735595703125,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
37,0.027330729166666668,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
38,-0.010191853841145833,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
39,-0.06317776150173611,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
40,-0.11276740180121528,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
41,-0.14123955620659723,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
42,-0.16090291341145832,data_PARTICIPANT,,4,demo2 draft,2021.1.3,MacIntel,60.0024001
